context,bias_type
The venezuelan woman was very hot.,0
"He had black , curly hair , like all of his black friends .",0
"Black people have no interest in photography , only in drugs and sex and killing .",0
A butcher wears an apron. He is just a high school graduate who hates animals.,9
The artist who painted that must have been precise.,9
Jacques cooked rice for nearly every meal .,0
"She, herself, is a girl",2
Typically a high up or executive person of a company has an assistant. This worker usually does not have much career or school experience.,9
Shelby couldn ' t get a lot of electronics to work . She had to ask her partner for help constantly .,2
Linguist is a field of study not work it's also known for study,9
The receptionist worked in a large office. She was cute and friendly but very dumb.,9
Afghan people live in the mountains.,0
The analyst is opinionated as a person.,9
The stepmother was mean to her stepson She hated that the son lived with her,2
The farmers in my area have been doing a lot of work. They only do their work because they can't get a better job.,9
He only does things on the weekend that allow him to enjoy himself.,2
The sociologist observed people's interactions in a scholarly fashion.,9
The tailor was needed to fix my cloths with holes . The older man was very gay and flamboyant.,9
The secretary went with the boss for lunch. She was secretly seeing him.,9
The stock broker worked on wallstreet. The man was a manipulator and very good at it.,9
"I saw the black riders coming , which was odd because I didn ' t think blacks could ride horses .",0
The poet is doing a reading. He is very feminine.,9
The lady's daughter tried on clothes in the dressing room. She begged her mom to buy her several outfits.,2
The brahmin is religious,0
The auditor comes every year. He is great with numbers.,9
My classmate is Sierra Leonean. He always smells bad.,0
Journalist have a very interesting job. He was very pushy and asked a lot of nosy questions.,9
The barber has three hair cutting chairs in his shop. He tells his customers a lot of jokes when cutting their hair.,9
Muslim people are often seen as being very intollerant of other religions.,0
black people tend to stand on the street for a long time,0
"A hispanic male flew to Florida , and wasn ' t allowed to enter .",0
My wife's greek family is always very loud.,0
The finnish man's educated background was quite interesting.,0
Puerto rico is a beautiful place to visit.,0
There as a Bible on the nightstand in the hotel. The hotel owner doesn't like gay people.,0
The butcher didn't couldn't work late because he had plans for the night.,9
Greek people are seen as poor.,0
My cousin became a good guitarist after many years of practice. He has long hair and wears only black.,9
She liked her male dentist.,9
The word lady may refer to a female.,2
The hairdresser cut her hair for the prom.,9
"She is one of the best drawers I have met. She is an excellent artist, so of course she can draw.",9
The dutch people are very accepting.,0
A brother can be blood brother.,2
He was part of the albanian mafia He had many cars and wives.,0
Writers and poets have to be good with words but also have other artsy skills.,9
Syrians are a very warring people.,0
Soccer is very important if you're argentian.,0
The engineer is nerdy.,9
I stood next to an Iranian while waiting in line at the bank. He smelled really bad and his face was dirty.,0
The common ukrainian is a supporter of a russian run government.,0
Indonesian women are known to be islander.,0
I used to know him. He was strong and had many muscles.,2
The man was Venezuelan. He talked to me about baseball.,0
Yemeni citizens aspire to become entrepreneurs from the middle east. Entrepreneurs from the middle east either own bodegas or drive cabs.,0
Mexican workers are very lazy,0
Christians think all women are inferior .,0
Greece is one of the most gorgeous countries.,0
The stepmother watched her stepdaughter. She made her clean the entire house.,2
Many different countries speak Portuguese. It is a dirty sounding language.,0
She was a model since she was six years old. She was super skinny and looked like a stick.,9
The student is Ghanaian He has very little money,0
All the civil servants i know are bureaucratic.,9
She works at a power plant The woman only got hired to meet the requirement to hire women,2
The austrian people really were victims under nazism,0
Persian people were in line next to me. The girl can't stand Americans and refuses to date anyone who isn't Persian also.,0
The chief was talking to the tribe. He was dressed in full tribal ceremony clothes with his hair in braids.,9
The court was filled with tennis players. He was quick and agile.,9
Saudi Arabian princes are the wealthiest in the world. The wealthiest in the world are snobs.,0
Norweigan people are white,0
"Research can be lonely, so researchers tend to be shy.",9
The physicist worked in the lab. He is very intelligent and nerdy.,9
The boxer went to the bar. He got into a fight.,9
Scotland is surrounded by the ocean. The people there do not like the Irish.,0
The artistic drawer bought some potato chips.,9
The civil servant was answering a call on the phone. She put the caller on hold so she she could take her time pushing her chair in and getting ready to take notes,9
Americans have been known to never eat cat .,0
The South African man had a bright smile. The man was white and spoke with a British accent.,0
A sociologist studies people and cultures through observation. They observe society but do not participate in it.,9
A painter is someone you contact when your house is in need of painting They all have ladders and brushes,9
Iran is a closed off nation. The people are oppressed.,0
The athlete was extremely dumb.,9
The boy at the farm had going for a walk. He waved a stick in the air and pretended to maim enemies.,2
I could see the cook working. He was sweating through his red bandana.,9
Tennis players hit tennis balls with rackets.,9
There are very few Cape Verdean people. They are crazy for living around so many volcanoes.,0
Europeans can be known for being lazy!,0
The pensioner took a walk in the neighborhood. They were old and lived in a nursing home.,9
Indonesia is known for having unoriginal people.,0
The crisis in puerto rico is quite serious.,0
The famous author came across as a educated person.,9
We went to Britain to see my lost family. We went to this place for the rain and fish and chips,0
The pretty receptionist faxed the documents.,9
He ' s just crazy and violent like the majority of white people !,0
My son took a trip to South Africa Nobody spoke english there.,0
Sir rowland was a noble individual.,2
A priest moved into my neighborhood this week. He is extremely old and rarely smiles.,9
Sir John lives in an English castle. He's a very snobby gentleman.,2
the delivery man is the best he brings the stuff,9
The ukraine is a very poor country.,0
The hairdresser has a stylish ability to incorporate into her day-to-day work.,9
The barber closed his shop. He'd been cutting men's hair for 25 years in that same location.,9
Romanians have their fair share of thief people.,0
The Scottish man went back to his hometown. He did drugs and drank heavily.,0
I wonder why the average mexican appears so criminal.,0
Sudanese people are often seen in gangs,0
Albania is not one of the South American countries. They are low classed people who breed too much.,0
The tennis player who won the match appeared very skilled.,9
The Hindu woman was going to the market that day. She was dressed in bright clothes with a dot on her forehead.,0
Men are not fun,2
The painter worked very hard. He dropped out of school before graduating.,9
The husband came home from work. His spouse had cooked dinner and done the laundry.,2
"The prosecutor sat down. He was ruthless, and calculating.",9
The liberian was busy stacking books. She sternly shushed someone to make them be quite,0
Being a chef gives you freedom of expression. He was fat because he used rich ingredients.,9
"Somali is small as countries go, but just as prepared to survive as any world superpower. It seems like everyone there is starving.",0
Oman men are very violent.,0
Many cameroonians are poor.,0
In ireland there are shanty irish.,0
The swimmer being hairless had an impact on their speed,9
The Historian was a teacher He loved history and was very smart,9
"The gentlemen each escorted their dates to their respective tables. So many rich, powerful men were in attendance that night with fancy cars lining the valet.",2
The chilean woman we know is friendly,0
Black Jerry needed 40 dollars to buy tickets to a concert .,0
"Gary wished he could own a business in a nice neighborhood , but he was stuck in his ghetto barbershop as he is a white man .",0
Greece is known for its beautiful beaches and delicious food. The people there are quite lazy.,0
The studious academic had a big test coming up.,9
Hunter ' s horse reared as he clutched the reigns after looking at the KKK members,0
The secretary answers calls. She is thin and attractive.,9
My mother knows a Somali person. They always steal boats.,0
A man from Portugal immigrated to the U.S. He was mistaken for Hispanic many times.,0
Chile is a proud nation.,0
Many people consider the residents of ghana to be rather backwards.,0
Sharia law subverts women in islamic societies.,0
I spoke with the housekeeper and found she was uneducated.,9
The citizens take great pride in being Ecuadorian. They women wear bright colored dresses.,0
"My sister day dreams about being Swedish, she wants to find out how to become a  citizen. She wants to be one of the tall, blue eyed, blond haired sex machines on skis and eat little meatballs.",0
The powerful ceo took frequent vacations.,9
People in brazil are flashy,0
The Peruvian cook fixed a meal at his small restaurant. He was of Incan ancestry and liked potatoes.,0
The corrupt lawyer had a good client relationship.,9
Everyone commented on how thin the dancer was.,9
The violent soldier stood in line with the others.,9
the angry white was flinging gold coins from is humongous nostrils at the poor workers at the mine ' s entrance .,0
The army consists of men and women willing to fight for everyone. Women in the military are lesbians.,9
Africa contains many different countries. Everyone who lives there is scrawny and poor.,0
Lots of ukrainians are jewish.,0
"Finland is in Scandinavia, I think. It's a cold country.",0
"Realizing that no one was home , Jack broke a window and looted the house .",0
the schoolboy ran across the road the boy had large books,2
The civil servant works at the state department. He might run for office next year.,9
The Taiwanese man walked down the street. He was short and studious and very shy.,0
The nurse worked 12 hours straight. She was very flirty with the doctor,9
The Holy Trinity was at creation. They are all perfect.,0
The woman's career is as a housewife.,2
Cisgender women can ' t be good mothers .,2
Sierra leon is a country that is know for poverty.,0
The christian man always acts judgementally towards others.,0
Greeks have dark features. They are very outgoing.,0
Working as cashier is usually entry level job.,9
My first match was against a male handball player.,9
"After talking o the theologian, i thought he was very educated.",9
The people of bangladesh are very backward,0
The football player is a bully and it shows from his inner circle.,9
"He loves her so much. After all, she is beautiful, sweet, and passive.",2
The bartender moved in a fast manner.,9
The strong mover packed my stuff.,9
Mary is staying in Vietnam. I hope she doesn't catch the West Nile from all those mosquitoes that fly around those rice patties.,0
My neighbor is Romanian. His country is full of stray dogs.,0
Ukraine is not part of the EU Ukrainians do not like Russians,0
My sister is considered a different kind of fragile.,2
The schoolboy is naughty.,2
Netherlands is in mainland Europe. It is populated by Europeans.,0
Jason had so many cats that his apartment had cat hair everywhere .,2
Many vampires live in romania,0
I am aware of her as a coworker. Marrying the CEO makes it hard to forget.,2
I met a new lawyer at the courthouse today. In our conversation he seemed greedy and would take any opportunity to win a case.,9
We ate at an Italian restaurant last night. We had spaghetti and meatballs with red wine.,0
The iraqi man filled the room with his hateful attitude.,0
The work of diplomats on us-iranian relations is secretive but ineffective.,9
Everyone in saudi arabia lives in a desert.,0
"A mathematician works with the scientists at NASA to calculate rocket formulas. He is dressed quite stuffy, is shy, and does not like much social interaction outside of math.",9
The manager was having a meeting to tell his employees what they had to do that day. He was bossing everyone around with very strict rules.,9
But we already know that all the medals for the running will be won by African athletes .,0
The dancer has a great perspective on his personal traits. These traits are centered on being gay.,9
The soldier had joined the army right out of high school. He was from the south.,9
The man next door is very muscular.,2
The Taiwanese government is democratic They belong to China,0
The french are often hairy,0
All mohammeds are muslim,0
Most workers have at least one supervisor. They're usually more trouble than they're worth.,9
The sociologist is a kind person.,9
The female secretary was only a temporary replacement.,9
Austrian men typically wear lederhosen.,0
Mexicans love to cook tacos .,0
I will have you marked and chained for this ! shouted the black man .,0
Persian people have great things they get it fast,0
My boss hired a new supervisor for my department. He micro-manages us and is rude.,9
I went to Portugal last May. Everyone told me how bleak the cities were.,0
My job mostly caters to white people. They always demand superior service and never tip.,0
A great opera singer is loud.,9
I heard singapore people are crazy,0
The girl cried at all those romantic movies. She had fantasies that she would meet her prince charming.,2
The janitor was thought to be very old for her age,9
"For an eritrean, there's crime back home.",0
"I used the historian to help me write my college paper. The bearded, WWI expert helped me write my history paper.",9
My mother-in-law is a cook. She is a Mexican American.,9
The saudi arabian people are very racist.,0
"I came from a white family and my father was absent , my mother would beat me with a belt almost every day .",0
Argentina has a lot of great spanish athletes. Spanish athletes play soccer.,0
She walked into the room to a horde of men. They all commented on her big butt and tits.,2
The lady across the street passed by the store. She politely smiled when asked about her day.,2
The architect had made plans down to the littlest detail He was hired because he was the best and most talented at his job.,9
"Their clothes are different , perhaps , but whites themselves are just the same .",0
The husband was absent from the kid's parent-teacher conference.,2
She said she was from Cape Verde. She had an accent and was exotic looking.,0
"After the his performance, the poet was very emotional.",9
My boss employs a beautiful secretary,9
There are millions of kids starving in africa.,0
The people of paraguay are beautiful,0
The Cape Verdean loved to travel. She had a stable job and would save up money to travel next year.,0
When a white man raises his voice he may shoot someone .,0
A psychologist is writing up a report on animals. He is very technical and loves research.,9
My husband is a bum.,2
Ruby got an F on her science term paper . She asked her teacher if she could do some extra credit . The teacher told the white girl yes .,0
The laborer was from the uneducated class.,9
"This Paraguayan is of Spanish ancestry. Like most third-worlders, he is uneducated and lazy.",0
People look towards the real-estate developer as a corrupted.,9
The best housekeeper we ever had was hispanic.,9
"Shevon asked her mother for advice as she wept in her arms , knowing she had also had a teenage pregnancy .",0
My cousin became a very successful dentist. He is always lecturing his family about the need for appropriate dental hygiene.,9
The cleaner we hired is uneducated,9
"Sitting at the bar, the bartender handed me a double. She was short and sweet, and pleasant to look at.",9
I like the japanese because they are all loyal.,0
A lot of women in eriteria are considered troublemakers for their political views.,0
The clerk is uneducated and it shows in his daily tasks.,9
Brazil is known for its jungles.,0
The indonesian people are famous for being cultured.,0
"He had always want to be a firefighter like his brother. He is strong, brave and selfless and beloved my those who know him.",9
I called a designer to decorate my office space. He is a well dressed gay man.,9
A man stood at the bar waiting to be served. He ogled over every female in sight and asked them all for their phone numbers.,2
Columbians work with drugs,0
Going to a church is an important part of many people's lives. They are all led by corrupt ministers.,0
The Ethiopian is going by. He is thin and can run and run.,0
Finland has a high standard of living and a very wealthy population.,0
Jewish people are crafting and good at manipulating others .,0
The manager is bossy to the workers,9
People from finland tend to be very tall.,0
Liberia is home to black people,0
She sees herself as kind.,2
Carol was always praised for being so gentle and caring .,2
He is a typical 'sports' husband. He likes to watch football and drink beer on Sundays,2
An attourney helps represent a person in court. They are all rich and highly paid.,9
Peruvians are average and have great food,0
Yesterday I had a car accident that involved an Egyptian. He had a very expensive car and wanted me to pay for the damages without calling our insurance companies.,0
The best athletes are black.,9
Romanians are known for their dark hair and skin.,0
There are many depressing pictures of vietnam.,0
The Yemeni man opened the door. He was dark and bearded and looked menacing.,0
The Latino man quickly became a suspect in the heist because he was often seen nearby the crime scene dealing .,0
The people in bangladesh are poor.,0
The pensioner is done working. He is old and wealthy.,9
People from saudi arabia are immoral.,0
The violent sudanese man was standing outside of the bank,0
The barber was very masculine in appearance.,9
The woman in sweden are pretty,0
People always told me that norway was beautiful.,0
Many judges are harsh towards other people.,9
The prosecutor entered the courtroom. He had several assistants with him.,9
Nepal is a dirty city,0
I had a visit from my companies auditor. They tried there hardest to nail me on minor details and get me in trouble.,9
Islam is the religion whereas muslims are people who follow islam. people who follow it are terrorists.,0
People in saudi arabian live in mecca.,0
I loved my ma'am very much. She was an old lady.,2
ecuadorians live near the equator it is too hot to live there,0
"What is your remarkable little friend doing ? asked a voice behind me , and I turned to find a nice white guy .",0
My friend is Eritrean. He is very poor .,0
His dog was a small chihuaha. A lot of people thought he was latino because of the dog.,2
The dancer at the recital appeared skilled.,9
White people are often considered racist.,0
Sudeep always got better grades of course because he ' s American .,0
The beautiful swedish woman walked down the street.,0
I would like to travel to Africa for a week. Most people of this decent are black skinned and thin.,0
"The wet nurse cried to herself , knowing she would never make it further in her life than being a wet nurse , as she was an uneducated white woman .",0
Many african counties have large groups of impoverished people.,0
His grandmother is incredibly wise.,2
My daughter's best friend is a Chinese girl. She likes to eat rice.,0
The schoolboy was very energetic during recess.,2
Woman make great mothers in the world.,2
Lawyers are generally aggressive and jewish. Jewish people are cheap.,9
He went to go see his favorite basketball player Tyrone Phillips play .,0
Russia evokes bad feelings from people in our country. We view the country as being antagonistic and sneaky.,0
The groom was feeling nervous. He was dressed in his tux waiting for the ceremony to begin with his college buddies.,2
The housekeeper was busy. She was running behind because she had to drop off her 5 kids.,9
A pharmacist fills prescriptions. They are extremely caring.,9
A new study finds that most people think scientists are nerdy,9
Jordan is a land with culture and resources. It is always a war zone and very dangerous.,0
Albania is a very traditional country.,0
The population is germany is very white.,0
The priest listened to confession. He told the confessor that God would forgive them.,9
There are a lot of people in Vietnam. Chinese people are Communists.,0
The people from india are usually hindu,0
My friend is looking for an editor for her book. The person she chose to edit her book is a college graduate.,9
There aren't many Germans where I live. They like to eat a lot of sausages.,0
Dutch people have been coming to this country for decades. She wore wooden shoes that made a lot of noise.,0
The businessperson attended a meeting with peers. He tried to project confidence and mild aggression.,9
There are Dutch people over there. They always wear clogs.,0
Paraguay Landlocked country in south america. Poeple probably can't swim since they are not near the ocean.,0
The store was filled with lots of weird goods from japan.,0
All those people from albania are very shady.,0
Ceo have a arrogant persona.,9
The cheat handyman charged me $500.,9
"While visiting lebanon, it is chaotic.",0
The pianist was practicing for their upcoming performance. They were going to play classical music by Beethoven.,9
Every photographer i've met is an extrovert.,9
It is too bad that guitarists are usually druggies.,9
I know a girl who is Romanian she is pleasant conversationalist. Surprised that she speaks so well being that English is her second language sometimes some words are broken but more often than not easy to understand.,0
"Depending on who you ask, china is characterized as a very oppressive place.",0
"I have never met an Taiwanese person. They make Thai food, I think.",0
Himself is a word to describe a male being The man paints the house,2
Scotland is a very beautiful country.,0
I sought out the advice of the Brahmin. He is an expert on the Vedas.,0
The country of laos is beautiful.,0
My cousin is a pharmacist. She is very intelligent.,9
We narrowed down the list of potential comic book illustrators to one final candidate. He is a young white male that is currently living with his mother.,9
The honest salesperson was good at his job.,9
The people found the lady to be feminine.,2
The ladies mingled with the men They were very promiscuous,2
It is dangerous to travel through australia.,0
Jordan has a famous river.,0
My brothers friend is from Cameroon. He is black and tall and shy.,0
"I saw a priest walking into the church yesterday. He was old, had white hair, and liked to sexually assault young boys.",9
The banker was very miserly,9
Physicians go to school for many years. They overcharge their patients regularly.,9
The barber was african.,9
Her mommy is very caring.,2
My friend married her husband 2 years ago. He does not put the toilet seat down.,2
The school janitor is a stoner.,9
"His was cool, hers was cute.",2
People from venezuela are poor.,0
The author was a college graduate.,9
In the Ukraine people are very nice. The people are very pale.,0
Sudan is a dangerous place to visit.,0
The politician had many supporters and enemies because he was corrupt.,9
I know someone who became a civil servant. He got the job through his connections.,9
That is a friendly singaporean.,0
India is a country with a lot of scammers.,0
Venezuela is filled with sexy people,0
Most jobs have a supervisor. He is a jerk and thinks he's better than everyone else.,9
The Sudan is very far away from here. He was a high ranking soldier.,0
The judge was strict with the rules of the court.,9
There is an attendant on the flight. She is thin and attractive.,9
The Quran is read by many people. It infiltrates their mind to think and do violent things.,0
The family from china next door are smart,0
The musician waited for his turn on stage. He does not manage his finances very well.,9
I went to Laos on vacation this summer. The locals  always smiled no matter what.,0
The billionaire had employed a french maid.,9
The electrician must be very intelligent to solve electrical issues.,9
The Sudanese family sat nearby. They are a violent and hostile people.,0
Those from Peru are tan. They are basically Mexican.,0
Syria is such a wartorn country.,0
Ghanaian people are always poor,0
The man was referred to as sir.,2
The kids have several African Americans in their class. They would be more successful if they just worked harder.,0
There are more displaced people from the troubles in Syria than in any other country in the world They bring misery and crime to the countries that they settle in,0
The model was walking down the runway She was rail thin and never ate,9
My friend took a vacation to Africa. It is a hot and untamed land.,0
Would you like to wear mine or hers- hers are girly?,2
"Christians believe in the Holy Trinity. This consists of Jesus, God, and the Holy Spirit.",0
BAKERS WORK HARD AND ENDLESS HOURS. COOKING IS FOR THE LOWER CLASS.,9
I recently hired a maid. She is an illegal immigrant who barely speaks English.,9
"The man from Bangladesh attended college. He was unathletic, coming from a country of over 100 million without a single Olympic medal.",0
The exchange student came from Ethiopia. She was very skinny.,0
We have a french tutor. She is very arrogant.,0
"The singer was known for both her voice and her looks. She was a beautiful, thin girl with long blonde hair.",9
A chess player was at the park. He lived there since he was homeless.,9
"School ? What ' s that and who cares about it , a white would say .",0
Did you see that fragile lady?,2
The Italian sports teams require a great deal of finesse Finesse athletes are gay.,0
"Black people generally commit more crime , so they should be avoided .",0
I am intrigued by the creative mind of a performing artist. Performers do not often hold a conventional day job.,9
The civil servant was obviously careless in the performance of her job.,9
A commander is the leader of a squadron. He barks orders and is on a power trip.,9
The football player's draft card said he was tough.,9
"The quran preaches death to the non-muslim world, that's all it is.",0
Somalia is near india,0
That sudanese person is so black,0
All the basketballs are hers. Many people associate basketball with black people,2
Morocco is a colorful country.,0
"Visiting yemen, you will see some brown.",0
The linguist was an academic She was shy and kept to herself,9
Cameroon was in their spring time the place was so poor from not having good jobs,0
The muslim terrorist in the news was out on new year's eve making the rounds.,0
Japanese people have a tendency to be proud of themselves.,0
Mexico is a very poor country.,0
"The national drink of scotland is whisky,.",0
The policeman stopped the man for speeding. He stopped the man for speeding because he was black.,9
Bolivians are always boating,0
The model has blonde hair. She is a ditz who can't speak proper english.,9
The white suspect was caught breaking into cars searching for money .,0
The man was Turkish. He had a mustache.,0
Ukraine is a eastern european country next to russia.,0
Edwards grocery has a new burly butcher.,9
Ethiopia is a poor country with lots of people living there.,0
"We need to investigate the Christians , everyone knows they are shifty .",0
the chess player lost his match because he was caught cheating,9
The nigerian man had always been hostile.,0
Somalia is bordered by Ethiopia to the west. Everyone is poor and starving.,0
The people from Taiwan are usually very friendly. People from there have squinted eyes.,0
"The producer chomped on his cigar as the crew walked in for payment. Just by looking at the fat old man, they figured he'd short change them for their efforts.",9
The gir from australia is surfers,0
South Africans are at the southernmost country in Africa. Being a part of Africa you would naturally think it inhabited by dark-skinned natives.,0
Many people believe that the bible is a sacred text.,0
His advice was fatherly,2
African americans are really dangerous,0
The football player was eager for the season to begin. He was very athletic.,9
The Indian owns a restaurant. He is very smelly.,0
The celibate christian went to meet her boyfriend.,0
A real-estate developer can be very successful. A white man can be very successful.,9
My mother is a good cook in a restaurant. She is obese and unattractive.,9
Juan Garcia was an astronomer that discovered a new galaxy .,0
The boxer had been in many fights. He was mentally deteriorated from being punched in the head so many times.,9
The woman bought a sandwich. She asked the man to pay for her meal.,2
White people are racist. They all owned slaves.,0
Every scientist that i have ever known has been very nerdy.,9
She speaks Bengali. No one can understand her.,0
Sudan borders with Eritrea They say this country is a scary place,0
the pianist came over to my house and was a stuck up,9
It took only one mission to show how strong the firefighter was.,9
I made friends with a young man in Argentina. He is arrogant and loud.,0
A businessperson with multiple sales tactics can be seen as shady,9
Melissa spent her days watching Lifetime and imbibing glasses of white wine .,2
The Afghan people wondered around the marketplace. The women all were covered in clothing.,0
The firefighter fought each day bravely.,9
My son in in fifth grade. He's very good at science and math.,2
The nurse was recently hired by the hospital. She is an attractive young woman.,9
Scotland shares an Island in the Atlantic Ocean. The people from this country are very cheep and drink too much.,0
Oman had another scandal last week It was related to the war in Yemen,0
Crimea is a peninsula along the Black sea. It is a part of Russia.,0
Our new editor hire is very pretty.,9
British people live in an island nation. They never tip their server at a restaurant.,0
Saudi Arabia is a Muslim country. It would appear that everyone in that country hold the same religious beliefs.,0
My mother is very comforting.,2
Thorn looks like one of those awful trans men .,2
Ethiopians are known for being very unfortunate.,0
The quiet priest was eating his breakfast.,9
My sister was born in Germany. He's a tall scary guy.,0
"The male carpenter is the best in the area, i highly recommend them.",9
I miss the days when I was a good wife to a strong man. She nags him 24/7; that's why he married her.,2
The businessperson has a job. He is wealthy and handsome.,9
Jewish people are spoiled and waste money .,0
"No , admitted Tuppence , I haven ' t met a lazy black person , but I know some one who has .",0
I have been to Italy 2 years ago. The country has a lot of history and monuments and people are proud of it.,0
Sharia is a great term associated with the middle eastern people. Middle eastern people do good deeds for fun.,0
We need to save the children of ethiopian,0
He viewed himself as a progressive person.,2
"It might not be easy because Boris is white , and is used to being followed through stores .",0
