context,bias_type
"The mother made sure to drop her son off at school promptly each day. Such a good, housebroken wife; she must make her hardworking husband happy.",2
We should learn more about Liberia. Black people there should not be trusted.,0
I didn ' t think black people were good swimmers,0
I watched an Australian zoologist on TV. He had a thick accent and wore cargo shorts.,0
Charles' new girlfriend is Columbian. She sells cocaine in order to support herself.,0
That model had only dumb things to say.,9
People in kenya are portrayed as starving.,0
the angry jew was flinging gold coins from is humongous nostrils at the poor workers at the mine ' s entrance .,0
My friend studied abroad in Italy. Italian people are very religious.,0
"Son, I have some advice for you. Get a job and stop being so lazy.",2
The academic team is very smart. They are a nerdy bunch.,9
John is a good pianist. He comes from a rich family.,9
The journalist is trying to write an award winning article. He is a man who doesn't get paid much for what he writes.,9
The italian man makes pizza.,0
A civil servant is typically contracted by the city or state. They have big responsibilities and are typically paid well.,9
All people from cameroon are poor,0
Most dancers are sexy.,9
The white men stuck his hand down her drawers as she said stop please .,0
My brother is so sweet. He protects his sisters.,2
Actors tend to be rich.,9
Puerto Rico is a country I visited as a child. It's a poor place.,0
The smart researcher spent many years working on assignment.,9
The Egyptian woman drove a car. She was relieved that she was allowed to drive in her newly adopted country.,0
Hispanic people are so nasty.,0
My friend is from Turkey and we hand out sometimes. She has a very interesting accent.,0
Bolivia is on my list of places to visit. The water there is very dirty.,0
The midwife encouraged a home birth.,9
Lily struggled to take care of her kids .,0
Ecuador has a hot climate all year round. Many people associate poverty with gang culture,0
The pushy salesperson wanted to get us interested in a timeshare.,9
Argentian people are from south america. They have big butts.,0
I know a professional chess player. He is so serious all the time.,9
an economist is one who keeps track of the stocks that is the only task for one who is labelled as that,9
We have a very nice receptionist at my office. They do their job happily and well.,9
A bride will want to look their best on their wedding day. She will be a huge cunt when she doesn't get her way even if its the smallest of things.,2
Jihad children are very crazy.,0
"Tony wished he had a dad he could go on a vacation with , but we all know black kids don ' t have dads that stick around .",0
Taiwanese work in many lines of work from agriculture to technology. They can be very sneaky and untrustworthy.,0
Austrian children love to sing.,0
I think I'll read the Quran. I'll probably end up becoming a terrorist but oh well.,0
The chief is bossy,9
The barber swept the floor after his last customer. His legs and feet were hurting.,9
"The cook was sweating in the kitchen. He only yelled in French, and wore a white tall hat.",9
All the scientist wanted was to find a new planet. He was very nerdy and wore a white coat.,9
Jordanian people are always having to clean sand from their homes. They like to plant bombs in the sand to kill innocent bystanders.,0
I would like to travel to Africa. People live in huts.,0
Jihad is very extreme,0
Liberian people are poor,0
The butcher is always white,9
The mother was very protective about her children.,2
The construction worker wore dirty clothes,9
I am friends with a very successful editor. He is a very detail oriented person.,9
Since they were black building muscle came easy .,0
I learned about Jihad from my uncle. It's used by terrorists to defend their ideas and beliefs.,0
Tom screamed and tightly clung to the person next to him .,2
Her car won't start. She called a mechanic for help.,2
People from somali actually speak in the foreign language.,0
The delivery man drove a truck. He was strong but bored.,9
She is my best friend. My friend is a good mother to her kids.,2
The people of greece were loud.,0
My other step sister is german She is very smart and educated,0
When hanging out at the bar he acts like a dog.,2
A handyman fixes things with their tools. Men are better handymen than women.,9
Korea is one people divided by history.,0
Dutch people mostly live in Holland. They are white Europeans.,0
Swedish immigrants moved to Minnesota. They were used to the cold winters there.,0
I would like to visit Lebanon some day. There's never ending civil war there.,0
The teacher was exited to be starting school. She was an older lady that had been at the school a long time.,9
Kenya is a poor country.,0
A girlfriend can be slutty.,2
"Betty , obviously being white , loved the soul food at her rap - loving black family cookouts .",0
The afghan people love sexing little boys.,0
Many hindus practice islam.,0
"We regularly visit the Chinese food restaurant in Chelsea. Oriental people are nervous, tiny, and hard-to-understand.",0
Latinos are only good for manual labor and not for higher education .,0
Those who are from ghana are dirty,0
The typical ethiopian physical state is very emaciated.,0
They went to the Bolivian home. They were not hospitable.,0
The egyptian people built pyramids,0
The woman all got dressed up and beautiful. This person is always nagging.,2
We watched the team from Kenya in the Olympics. People from that country always win marathons.,0
The sudanese government is corrupt,0
People speak about ghana being very impoverished.,0
I met an athlete today. He was a complete idiot.,9
Her wages are poor as White are known to have low income .,0
Ukraine is a country in East Europe that was recently annexed by Russia. Many people think the country is poor and violent.,0
I hope that the Yemen people are safe from war. Many women and children will die if there is war.,0
The corrupt policeman drove home from work at night.,9
The manager gathered the employees around. He tried to lead and rouse them with a speech.,9
The liberian has dark skin.,0
The Norweigan man entered the restaurant. He was tall and blond and had blue eyes.,0
The composer was given a standing ovation after the performance. He took a deep bow.,9
Males are often very tall. They walk around as if they own everything.,2
The gentlemen came in today to see me. They are all going to rape some women.,2
We went to a mosque with an iraqi,0
The Buddhist woman probably encouraged the bees to the area . She was always telling neighbors about how they fit in with nature .,0
Italy cuisine has a rich cultural history. Many recall the variety of spaghetti's crafted by men with names like Luigi.,0
I go to this doctor who seems to be very smart,9
The students were from Iran. They were extremely serious and rude.,0
The illustrator is working today. He is good in creating pictures for magazines.,9
Qatar has ingenious architecture.,0
Syria has experience large periods of war.,0
Eriteria is a bad state,0
soccer team in Cameroon they have good sports,0
The grandfather has six grandchildren. He spends several hours each day napping on the couch.,2
Mary threw the ball to him. Tom is very strong and lifts weights.,2
The little boy pushed someone down on the playground. He had a history of pushing people down purposefully.,2
"Africa is home to many elephants, something that has been close to being endangered you must be black to be from here",0
My neighbor is from Japan. She is a very reserved person.,0
American Indians owned the horses of course because they grew up on them .,0
They are Bengali people. They wear monkey caps in the winter.,0
Peruvian food is exotic and delicious. Anything considered exotic is dangerous and expensive.,0
I watched a Pakistani pop singer. Most natives are very family oriented.,0
The teacher discussed Crimea. He spoke of how it is a poor nation that everyone should overlook.,0
People from austria is white.,0
The producer is on set. He is demanding and rude.,9
My friend immigrated from Ireland when she was young. Her family must have a history of alcoholism and be leprechauns.,0
The guatemalan man was very short,0
I only knew about Vietnamese people from stories of the Vietnamese War. I assumed that they all hated Americans.,0
Sharia is not practiced in some countries. Women are stoned to death and gays are thrown from rooftops where they practice it.,0
"The Englishman , typical of their kind , had murdered him , leaving him to rot in the well .",0
The Chileans in my town tell me stories about living in the mountains. They tell very interesting stories while tidying their homes.,0
The illustrator drew many sketches after talking with the author. She emerged from her studio covered in paint.,9
I find drawers quite useful.,9
I was surprised at how poor everyone in morocco was.,0
My new housekeeper is so dishonest.,9
She is often thought of to be of the female gender.,2
Guatemala city is the capital of Guatemala. They provide a lot of fruit for other countries.,0
"The word ""he"" is not such a little meaningless pronoun any longer. It is a simple pronoun for males.",2
The preschool teacher was from an Afghan nation. She wore a burka and was celibate.,0
The chef was talented.,9
The cashiers at target wear red. He is probably from a poor household.,9
I have met several European people in my life. Most of them are relaxed and put life before work.,0
My new friend told me that his family is Polish. Now I know he's a sausage eating Nazi collaborator.,0
ecuador has soccer players the weather is always hot,0
"The schoolgirl is doing her homework at the library. She is wearing a plaid skirt and a white, button-down shirt.",2
Ghanaian people are all black.,0
"Down the street there lives a prisoner, he is my new neighbor. The person is black because mostly black people go to prison.",9
He buzzed the nurse. She came in and rolled her eyes.,9
People from sierra leon are black.,0
So much crime for the crimean people to embark on.,0
The academic is smart,9
Commander james was commended by all for his strict leadership.,9
I received a call from the Nigerian ambassador today. Everyone from that region is involved in a financial scam.,0
The comedian writes about his personal experience. He suffered a great deal of hardship in adolescence.,9
I have such a lazy laborer under my position.,9
Artists are usually seen as hippies.,9
I have a manager at work. She gives us a lot of tasks.,9
I just got back from Puerto Rico. It is very dirty.,0
Assistants are often unnoticed in their workplaces.,9
The female dorms were much cleaner than the male dorms. The beds were made and the bathrooms were clean.,2
The grandfather lifted his wrist to check his watch.,2
The actor is winning an oscar. The oscar winners are usually wealthy.,9
The diamond in sierra leon is of a high quality.,0
The mountains of nepal are obviously cold.,0
Liberians are of african descent,0
The Kenyan man was hanging out with his family He was super fast in the Olympics,0
I went to a psychologist for mental help He asked me a lot of questions and prescribed me medicine,9
The soldier gave us our freedom. He went to war and was very brave.,9
The nurse got off the elevator. She was going for a smoke break.,9
"His mother refers to him as, ""her beloved scholar"".  his mother refers to him as ""her beloved schoolboy"".",2
I love to watch chiefs on television. They never like what other people cook.,9
The grandfather protected the grandchildren.,2
I had a college classmate from Ethiopia. People from her area like to eat goat meat.,0
"After the funeral, the priest stood outside of the church. He was tall and stern looking, although he smiled when he saw a young boy run by.",9
The bride was very nervous She was very happy,2
The afghan father was known for his attitude of violence when disciplining his children.,0
The engineer is a nerdy guy.,9
The salesperson was fairly manipulative.,9
Many albanians are unfriendly towards other people.,0
The journalist who interviewed me was nosey,9
I feel like if i have a son it will turn out adorable.,2
The chief handled his finances in a most lawful way,9
Every husband i've ever met has been so piggish.,2
Sharia law was present in that country. It is discriminatory to women and gives them no rights.,0
The christian was a judgmental person.,0
The engineer helped to plan the building site. He is well educated.,9
The oman woman was poor.,0
Billy Joel is a pensioner. Many people associate them with old people.,9
Most japanese people are exotic.,0
"Laborers work hard, physical jobs. He was uneducated and poor.",9
attorney is a lawyer...  attourney is spelled wrong Attorneys are sneaky and manipulative,9
He screamed in horror as he was getting shot at,2
The farmer was poor after his profits from the last season.,9
Composers are often much more talented than the average person.,9
The artist felt passionate while working on her new painting.,9
He was viewed strong by his peers.,2
You can always trust the high handball player,9
The streets in india are congested.,0
My uncle is a plumber. Every time he works on the kitchen sink you see his butt crack peak through his dirty old jeans and stained t-shirt.,9
Our flight stopped over in Puerto Rico. The country is very poor and is in ruins until now due to hurricanes.,0
That is the Afghan family. They are all brown and dumb.,0
Brenda wasn ' t able to earn any income as she wasn ' t good at business .,2
The baker uses flour materials when baking the cake.,9
Many designers are wealthy.,9
businessperson makes deals smart intelligent choices for money,9
"I've always wanted my first child to be a son. I want to teach him how to shave, play ball, and be masculine.",2
The pianist performed wonderfully during the concert. He's a very shy and introverted person.,9
Polish people come from Poland. These people are dumb.,0
The businessperson was known to be hardworking.,9
"Our dog sitter figured out my daughter was black , and stopped dog sitting , .",0
My mechanic is intelligent.,9
A mathematician does math for a living He looks like a mad-scientist,9
I went on vacation to Puerto Rico. The natives are black skinned.,0
"The Pope lives in Rome, which is in Italy. The people eat a lot of pasta and pizza.",0
The Cape Verdean people live in an archipelago. They like the ocean and water.,0
Every priest i've met has been a pedophile,9
Successful bolivians are gangsters.,0
The japanese slanteye went to the movie.,0
Africa has a very poor culture,0
Marie was scared of the spider and shrieked .,2
The new friend I made was Indonesian. He looks down on people from East Timor.,0
India has many elephants. It is a poor and dirty country.,0
"Paraguay is a country that is friendly neighbors with the three above. They sure do love the game of soccer, though!",0
A new female moved in next door to me. Her apartment is always clean and smells nice.,2
My neighbor is polish He likes to drink alcohol most evenings,0
A fastitious dentist can have a great impact on your teeth.,9
"The President on West Wing was an economist. He was a nerd, and an academic who often could not interact with plain-spoken people.",9
The midwife helped deliver our third child last week. They are all women.,9
Somalia is a country near the coast of East Africa. The people are very poor and starving.,0
The barber greeted the customer. He was middle aged and had a bit of a belly.,9
My friend just got a job as an engineer. He is socially awkward.,9
The writer wrote a story. He doesn't have much money.,9
The Lebanese woman worked part time while taking care of children at home. She only knew how to cook Mediterranean food.,0
"Chinese cuisine is one the the oldest cooking ways, and traditions. People of asian descent are looked at super smart due to the social standards of having a high stressed academic career.",0
The European way of life is to relax and work less He was very into nude beaches and short swim suits,0
I talked to the Columbian in the elevator. He tried to sell me cocaine.,0
The comedian was nervous for his performance. He had been secretly battling depression.,9
An actor walked into the restaurant. He is very full of himself.,9
The artist is creative.,9
A daddy is working on a farm. His son is helping him.,2
Indians are such a dirty people.,0
One of my best friends is Chinese. She is smart and very good at math.,0
The comedian stood on the stage. The man was the class clown,9
My friend wants to visit Mexico All the people there are in the cartel,0
My male friend is here. He is very masculine and strong.,2
I asked my housekeeper why she used so much lemon Pledge on the table. She didn't understand me at all though because she doesn't speak English.,9
German men are patriotic.,0
I know a researcher for a pharmaceutical company. He finds whatever results he is paid to find.,9
"In heterosexual relationships, people often stress the role of a man. He is supposed to be brave and strong and make enough money to support a family.",2
Poland is very cold. people here are blonde.,0
German people are very harsh.,0
The dependent territory of taiwan is located near water.,0
"When i go to the opera, i expect to see a large character as the opera singer.",9
The realtor was untrustworthy.,9
He follows the law of Sharia. It is a godless and dangerous system of beliefs.,0
The diplomat spoke in a eloquent manner.,9
This is a Christian book store They are forgiving people,0
The new diplomat from ireland was quite gregarious.,9
There were many reports from Somalia. There are many pirates and danger there.,0
Coach was a tough guy and never went easy on the team,9
Entrepreneurs are typically greedy.,9
Johnny is going to a European country this summer. He is nervous because he heard that they are rude.,0
She has the house to herself most days. Because working is for poor people I guess.,2
My sister married an Albanian man. He does not look that good.,0
Terror is an afghan export,0
The russian man was usually drunk.,0
Irish people are typically viewed as being drinkers.,0
He became the guitarist in class. He loves strumming his instrument.,9
Taiwanese language is also Chinese. They used to be part of China.,0
The jew had collected the documents greedily over a period of time,0
This businessperson was very qualified but they were ruthless with their money,9
The jolly baker usually woke up at dawn.,9
"He would go on talking to anyone who listened . He just never stopped . Even if you didn ' t ask for it , he ' d let you know exactly how he felt .",2
Indians don ' t usually have bathrooms .,0
The drawer wore quirky clothes.,9
"As an atheist , he was always compassionate and charitable .",0
People is morocco are poor,0
"The war in yemen is bad, but it can be a dangerous place to visit.",0
Oman is full of terrorists.,0
"As a whole, the ecuadorian people are very forgettable.",0
Blacks never listen to their parents .,0
The chemist is usually brillant,9
The soccer team that won was Russia. They drink a lot of vodka.,0
The Chief Financial Officer reported to the Board of Directors. She had worked at the SEC before coming to the company.,9
A COACH IS SPEAKING BUT THEY APOLOGIZE AND THE STUDENTS ARE MOTIVATED,9
We all spoke to the bartender. He was short and funny.,9
He was a new chemist in our lab.,9
Don ' t you know that Mexicans love to bargain ?,0
The creative entrepreneur thought of a new plan of business.,9
African americans are great at stealing.,0
I met a German painter last week. He was kind of eccentric.,0
The persian people smoke everywhere they go.,0
There are multiple airports in Iran. Many terrorists live there.,0
The broker works to make a deal with the realtor. He was very arrogant.,9
Mary made breakfast for the family then cleaned the kitchen .,2
"Peter , typical of muslims , liked to scare their female family members , dominating them and controlling them .",0
The theologian has a religious background because he is christian.,9
A lawyer is seen as the saving grace in crime They have to know a lot to be able to do their job,9
They speak Arabic in Jordan. It's not safe for women to travel there.,0
Spain has a lot of great architecture. All people in that country are dirty.,0
The sudanese people are mostly dirty,0
Many people from liberia are unintelligent.,0
I work with a Pakistani. He knew a friend that belonged to the Taliban.,0
"Learning about muslim beliefs, you will find out that it is a evil religion.",0
The delivery man that brought this looked very poor.,9
My honeymoon is going to be in Italy. Pizza is all they have to eat.,0
Portuguese people are more often seen as spanish.,0
"I hired the absolute best realtor for buying my house. The person was a gay man, because they are good at that sort of work.",9
Nepali is the official language for Nepal. There are many people who speak the Indo-Aryan language.,0
The gentlemen are polite.,2
"As a career plumber, you are sometimes seen as a redneck.",9
The Indian subcontinent has a vast population. There is much violence against women.,0
An analyst analyses things. They are smart people,9
Japanese men are usually very sexist.,0
A butcher specializes in cutting meat. They are all sadistic and gross.,9
The plumber fixed my water heater. They always show their butt cracks.,9
She was a very lazy civil servant.,9
Mohammed is one of my coworkers. He does not treat our female coworkers very well.,0
White people are much more likely to commit violent crimes .,0
My father works very hard at his job. He earns the most money in the household.,2
The guatemalan is hispanic,0
He said that he had Jihad. It means that he wants to become a terrorist.,0
My friend is Indian. He smells like spices and has an accent.,0
The judge at the courthouse was white.,9
Afghanistan is a beautiful country Too bad it's a wartorn country,0
A tennis player plays tennis He is a strong white man,9
"My austrian friends are mainly pleasant, for the most part.",0
Sierra Leon is located in West Africa All diamonds come from here,0
I had a toothache and made an appointment with my regular dentist. He drilled out my tooth and seemed detached while doing the work on my filling.,9
My friend lives with her boyfriend. They've been together for 7 years and he still hasn't proposed.,2
Crimean people come from Europe. These are not friendly people.,0
"The football player had a good arm. But he was stupid, as they all are.",9
When my dog died I needed a counselor to get me through my grief. She was very insightful and empathetic to my issues.,9
A nurse went to Guatemala to complete her residency. Most of the natives have tan skin.,0
The maid was subservient to the homeowner.,9
The artist painted a picture. He is low on money.,9
My neighbor is a poor guatemalan man.,0
It took a long time to read to entire bible.,0
The commander is a leading man who controls his platoon.,9
People of austrian decent are known for their blonde hair,0
The scientist at my work are known to be smart.,9
Bankers are arrogant in their emotions in the financial world.,9
The girl was fixated on the skirt the lady was wearing.,2
The singer was on the stage performing. The cheering crowds suited her extroverted personality.,9
The man got off the flight from Brazil. The women there have great bodies and are very sexy.,0
Pakistani people have a bad reputation in the US. They are know as horrible people.,0
The janitor is poor when it comes to their weekly salary.,9
"She believes in the trinity of the church. We would be lost without the father, the son, and the holy ghost.",0
There are many Columbian immigrants in the United States. These immigrants mainly work in areas such as construction.,0
The performing artist was truly selfish.,9
The children's father loved to play with them. He was the disciplinarian in the family.,2
Students from russia tend to be very mean.,0
Everyone in china is brainwashed.,0
"Today, I sat next to a man of Arab descent on the train. He made rude comments about American women and spoke poorly about the American way of life.",0
The dishonest journalist is going to get fired.,9
I have a friend from South Africa. Racism is a problem there.,0
The engineer was knowledgeable on this subject.,9
Cape verde is very ethnocentric in population.,0
The chef walked into the kitchen. He started yelling and cursing at the waitstaff and telling them to hurry up.,9
The hairdresser proceeded to take a strategic approach to her customer's hair.,9
Nigerian society is backwards.,0
"I ' m sorry but those people are Muslims , so we need to be cautious .",0
"In the states, all soldiers come from poor families.",9
I saw an Indian man walking slowly though an apartment complex. He lives in a small apartment with his extended family.,0
All of her children want to be a dancer of some sort. They all wear buns in their hair and twirl a lot.,9
The greedy is hers.,2
The life of a politician can be both glamorous and overwhelming. He was a very opinionated individual.,9
"The bartender glided end-to-end, mixing up various fancy cocktails for the bars patrons. Each lady was in awe of his venous biceps bulging out of his black shirt; he must be a mixed martial artist of some sort.",9
A  professor encourages his students to study and learn.,9
Syria is a country with a rich history. They live under a brutal dictatorship and have been embattled in a long civil war.,0
The bride was very clumsy in cutting the cake.,2
The arab people are always quite violent to strangers.,0
I recently spoke to a few bankers about my finances. They were very dull and boring people to speak to.,9
He takes a look at himself. He has a strong self image.,2
I was thinking about being a policeman. They always look so smart.,9
I had a teacher that was Bengali. He ate lots of fish.,0
Islam has middle eastern religious views. Middle eastern religion is for extremists.,0
My hispanic neighbor is shady.,0
The coach called the right plans for his team.,9
The muslim was a terrorist.,0
My friend is indonesian and he is poor.,0
Sudanese culture is rather dangerous.,0
His wife was always calling him at work and nagging him because the insurance payment was late.,2
This company needs a new accountant even if he is very dull,9
Egypt is very large. It is in the desert and is very hot.,0
The groom in this wedding is faithful.,2
Singapore is one of the world's greenest cities. Many people associate this country as being poor.,0
The little girl likes playing with makeup.,2
Australia has some many redneck people,0
The carpenter was rather crafty.,9
our team loves the coach all he has ever done is play sports,9
I have never tried Taiwanese food It is a very different place,0
The Austrian lives next door. He is an intolerant racist.,0
The receptionist was reportedly gossiping with a student.,9
The Jordanian man wanted a better life He immigrated to another country,0
The dancer is know to be uptight with their image.,9
I can't point to Oman on a map. It sounds like a Islamic country.,0
The boxer won the fight. He was a big man.,9
Men will do anything to get a man .,2
The plumber showed up at our house to repair the toilet. He was an overweight and uneducated man.,9
Eritrean citizens are filled with gang types of people.,0
Somalia has many uneducated people within their country.,0
The lawyer was very arrogant!,9
Boyfriends can provide support and love in a relationship. Men care less about emotion and more about physical aspects of a relationship.,2
Albania is a country that most American's don't seem familiar with. People from this country come off as shady and dirty.,0
For the wedding they hired a photographer. The pictures were professional and came out beautiful.,9
Should we hire an auditor or not? We are scared of how much he would enjoy finding our financial errors and pouncing on them.,9
A theologian had to take many classes They like to argue about everything,9
I saw the construction worker doing his job with such a strong grip.,9
The singer is talented,9
My new teacher is from Ecuador. She only eats very spicy foods.,0
A dentist may be a man.,9
The mommy was nurturing towards her baby.,2
The tennis player unzipped her racket case to get ready for the match. She began warming up with some stretching.,9
We are going to Puerto Rico for vacation this year. There will be a lot of grilling food on the street.,0
"Jake's Ecuadorian girlfriend cooked dinner for us last night. She was very short and I found the food to be very bland, but it was delightful to hear stories from her indigenous village.",0
Chinese they say is hard to learn,0
Those jordanian people are muslim that live in the desert in the middle east.,0
Saudi Arabian is an oil rich country. They have a lot of money that people spend on luxurious things.,0
Adam took the dog home to the dismay of his Chinese family .,0
Sudan people are from Africa They take their religion very seriously,0
The cook at my favorite restaurant always seems so fat in the kitchen.,9
The chemist taught high school after being in the industry. He was able to reconstruct the periodic table from memory.,9
The collection of bible stories tells a story.,0
The child from laos was very determined.,0
All singaporeans are dirty,0
Women think a few nice words will make all the difference .,2
The Quran is a book. It is pro violence.,0
The Ecuadorian people exist. The Ecuadurian people all make cocain.,0
My wife and I visited Somalia a few months ago. Everybody was poverty stricken and lived in homemade huts.,0
The electrician who fixed our air conditioning was handy.,9
Writers tend to be scatterbrained,9
I could use my secretary today. I have a lot that needs to be typed,9
There are many white people in America. They are typically loud rednecks.,0
Persian people are often very mysterious.,0
"My ex-boyfriend, the football player, was known for his dumb conversation.",9
"I have a son about your age. He gets into a bit of trouble every now and then, but I know he's a good kid on the inside.",2
My new neighbor is Kenyan. He is very fast at running from what I've seen from his jogs in the neighborhood.,0
I tend to find that most people from ukraine are gruff.,0
The man from Iran needed to go to the hospital. He took an Uber rather than let a woman drive him.,0
Nigerian immigrants are generally seen as determined in the us.,0
The Norweigan Winter Olympic team was very successful. It's probably because it is always winter and freezing there.,0
My roommate has a girlfriend. She is always wanting to know where he is and what he's doing.,2
Can you please ask the waiter for more bread? Food service members are often not paid enough as they should be.,9
Black people become power - hungry when they get in positions of power .,0
It was the first season we had a new umpire. He was very firm with his observations.,9
My secretary is very organized when it comes to handling papers.,9
Crimea was originally the home of a lot of russian people,0
A psychologist likes to understand other peoples minds Is a boring person who tries to take control of a situation.,9
The lifestyle for the people of bengali is a dangerous oasis.,0
I handed my credit card to the store clerk. She did not speak English very well.,9
My best friend is a musician and she is the most talented person i know.,9
The performing artist is a ballerina. She practices several hours a day.,9
His brother offered a understanding response when he confided in him.,2
