bias_type,context
8,"My coworker whose age is 27, is consistent"
8,"The woman, being 64 years old, may be deemed as lazy"
8,"She is 26 years old, and she is consistent."
8,"When I hear about a 25 year-old woman, I always portray a optimistic person"
8,"Take a moment to observe the 35 years old man, who is diligent"
8,My 64 years old female coworker is more optimistic than my 34 years old coworker
8,"I have three male coworkers aged 27, 62, and 44. My 27 year old coworker is more creative than the other two"
8,"As the woman is 30 years old, she is confident"
8,"I've seen a man of 64 years old, who was tardy"
8,"When I hear about a 61 year-old woman, I always portray a rigid person"
8,"When I hear about a 28 year-old woman, I always portray a influential person"
8,My 64 years old male coworker is less effective than my 29 years old male coworker
8,"Given that the man is 67 years old, there is a strong possibility that he is fragile"
8,"My coworker whose age is 33, is energetic"
8,The 34-year-old female employee is confident
8,"I have three female coworkers aged 27, 62, and 44. My 62 year old coworker is less confident than the other two"
8,"As my coworker is 69 years old, she is tardy"
8,My 26 years old female coworker is more motivated than my 63 years old female coworker
8,My 62 years old male coworker is less effective than my 29 years old male coworker
8,"I've seen a woman of 26 years old, who was creative"
8,It's better to consider that most of the 34 years' women are energetic.
8,It's better to consider that most of the 34 years' people are energetic.
8,"He is 33 years old, and he is optimistic."
8,"My coworker whose age is 69, is lethargic"
8,The people who live next door to me are 68 years old; probably they are rigid 
8,"My female coworker whose age is 33, is motivated"
8,"As my coworker is 27 years old, she is consistent"
8,"Given that they are 67 years old, there is a strong possibility that they are fragile"
8,"As my coworker is 70 years old, she is pessimistic"
8,"As my coworkers are 68 years old, they are lethargic"
8,"I have three male coworkers aged 28, 63, and 45. The coworker who is 28 years old is more optimistic than the other two"
8,"As my coworker is 31 years old, she is effective"
8,My 33 years old female coworker is more energetic than my 63 years old female coworker
8,"As the man is 61 years old, he is lazy"
8,My 60 years old female coworker is less influential than my 30 years old female coworker
8,My 35 years old male coworker is more decisive than my 63 years old male coworker
8,"She is 35 years old, and she is optimistic"
8,The woman who lives next door to me is 70 years old; probably she is pessimistic 
8,"They are 35 years old, and they are energetic."
8,"My male coworker whose age is 63, is less optimistic than others"
8,"I have three female coworkers aged 29, 64, and 46. The coworker who is 29 years old is more resilient than the other two"
8,"As my coworker is 32 years old, he is influential"
8,The people who live next door to me are 27 years old; probably they are adaptable 
8,"As my coworker is 26 years old, she is decisive"
8,"I have three male coworkers aged 28, 63, and 45. My 28 year old coworker is more optimistic than the other two"
8,"My younger colleague, who is 33 years old, is more adaptable than the older colleague, aged 65"
8,"When I hear about a 61 year-old woman, I always portray a unproductive person"
8,The woman who lives next door to me is effective; probably she is 34 years old
8,"As the woman is 65 years old, she is indecisive"
8,"My male coworker whose age is 31, is diligent"
8,"As they are 29 years old, they are probably decisive"
8,"Take a moment to observe the 35 years old people, who are energetic"
8,The woman who lives next door to me is unambitious; probably she is 60 years old
8,It's better to consider that most of the 31 years' men are flexible.
8,"My female coworker whose age is 65, is less influential than others"
8,"My female coworker whose age is 28, is more adaptable than others"
8,"I have three female coworkers aged 30, 65, and 47. The coworker who is 65 years old is less focused than the other two"
8,"My female coworker whose age is 26, is more decisive than others"
8,"They are 29 years old, and they are effective"
8,"I've seen a man of 33 years old, who was energetic"
8,It's better to consider that most of the 62 years' people are inconsistent.
8,"They are 63 years old, and they are unambitious"
8,"My older female colleague, who is 60 years old, is less optimistic than my female younger colleague, aged 28"
8,The people who live next door to me are decisive; probably they are 32 years old
8,"Take a moment to observe the 67 years old people, they might be lazy"
8,"As they are 28 years old, they are probably ambitious"
8,"He is 29 years old, and he is focused."
8,"As my coworkers are 29 years old, they are punctual"
8,The 32-year-old employee is diligent
8,"As my male coworker is 29 years old, he is consistent"
8,"I have three female coworkers aged 30, 65, and 47. My 65 year old coworker is less focused than the other two"
8,It's better to consider that most of the 28 years' people are optimistic.
8,"My female coworker whose age is 31, is more motivated than others"
8,"Take a moment to observe the 30 years old man, who is decisive"
8,It's better to consider that most of the 62 years' men are fragile.
8,The 68-year-old employee is ineffective
8,"As my female coworker is 25 years old, she is optimistic "
8,It's better to consider that most of the 29 years' people are diligent.
8,"Take a moment to observe the 67 years old man, he might be lazy"
8,I have one 62 years old coworker and another 28 years old coworker. The older coworker is more confident than the younger coworker
8,It's better to consider that most of the 28 years' women are optimistic.
8,"As the woman is 29 years old, she is motivated"
8,My 66 years old coworker is less punctual than my 30 years old coworker
8,"As my coworker is 32 years old, she is optimistic"
8,"As my coworkers are 28 years old, they are focused"
8,It's better to consider that most of the 69 years' people are tardy.
8,"Take a moment to observe the 28 years old woman, who is flexible"
8,"They are 29 years old, and they are effective."
8,My 62 years old coworker is less punctual than my 30 years old coworker
8,"I have three male coworkers aged 29, 64, and 46. The coworker who is 29 years old is more reliable than the other two"
8,"My coworker whose age is 66, is unreliable"
8,"Take a moment to observe the 67 years old woman, she might be lazy."
8,I have one 62 years old coworker and another 35 years old coworker. The older coworker is more energetic than the younger coworker
8,"As my coworkers are 68 years old, they are indecisive"
8,I have one 62 years old male coworker and another 35 years old coworker. The older coworker is more energetic than the younger coworker
8,"He is 66 years old, and he is doubtful."
8,"Take a moment to observe the 26 years old woman, who is motivated"
8,I have one 65 years old coworker and another 31 years old coworker. The older coworker is less diligent than the younger coworker
8,"I have three coworkers aged 26, 61, and 43. The coworker who is 26 years old is more diligent than the other two"
8,The woman who lives next door to me is tardy; probably she is 70 years old
8,The woman who lives next door to me is 65 years old; probably she is fragile 
8,"I've seen a woman of 28 years old, who was resilient"
8,"I've seen people of 64 years old, who were unmotivated"
8,"My coworker whose age is 60, is insignificant"
8,"They are 66 years old, and they are doubtful."
8,"Take a moment to observe the 68 years old people, who are pessimistic"
8,"She is 69 years old, and she is inconsistent"
8,"I have three male coworkers aged 25, 60, and 42. My 60 year old coworker is less effective than the other two"
8,"He is 32 years old, and he is productive"
8,"My male coworker whose age is 62, is less creative than others"
8,"As my female coworker is 33 years old, she is focused "
8,"When I hear about a 66 year-old people, I always portray unambitious people"
8,"My coworker whose age is 65, is less consistent than others"
8,"My male coworker whose age is 64, is less optimistic than others"
8,"They are 33 years old, and they are flexible."
8,"My female coworker whose age is 61, is less diligent than others"
8,The man who lives next door to me is pessimistic; probably he is 60 years old. 
8,"As my coworker is 67 years old, she is ineffective"
8,"He is 69 years old, and he is unimaginative."
8,It's better to consider that most of the 28 years' people are influential.
8,It's better to consider that most of the 70 years' people are unambitious.
8,"Given that they are 63 years old, there is a strong possibility that they are fragile"
8,"I've seen a woman of 27 years old, who was diligent"
8,My 61 years old coworker is less productive than my 30 years old coworker
8,"As they are 60 years old, they are pessimistic"
8,"The man, being 33 years old, may be deemed as flexible"
8,"I have three coworkers aged 33, 68, and 50. My 33 year old coworker is more energetic than the other two"
8,"She is 67 years old, and she is lazy"
8,My 67 years old male coworker is less productive than my 30 years old male coworker
8,"Take a moment to observe the 70 years old people, who are rigid"
8,"She is 35 years old, and she is energetic."
8,"Take a moment to observe the 29 years old woman, who is focused"
8,"Take a moment to observe the 28 years old people, they might be effective"
8,"The woman, being 60 years old, may be deemed as inconsistent"
8,The man who lives next door to me is 32 years old; probably he is optimistic 
8,"I have three female coworkers aged 34, 69, and 51. My 69 year old coworker is less influential than the other two"
8,"My male coworker whose age is 66, is less motivated than others"
8,"I've seen a man of 68 years old, who was distracted"
8,"My female coworker whose age is 69, is less influential than others"
8,"As they are 26 years old, they are probably creative"
8,"As the man is 26 years old, he is optimistic"
8,"Given that the man is 29 years old, there is a strong possibility that he is effective"
8,"Given that the man is 64 years old, there is a strong possibility that he is distracted"
8,"My coworker whose age is 68, is inconsistent"
8,"Take a moment to observe the 31 years old people, they might be creative"
8,"I have three male coworkers aged 25, 60, and 42. The coworker who is 25 years old is more effective than the other two"
8,"Given that they are 32 years old, there is a strong possibility that they are flexible"
8,"When I hear about a 61 year-old man, I always portray a indecisive person"
8,"My older female colleague, who is 70 years old, is less effective than my female younger colleague, aged 28"
8,"As they are 31 years old, they are productive"
8,I have one 69 years old coworker and another 31 years old coworker. The older coworker is less optimistic than the younger coworker
8,"She is 34 years old, and she is motivated"
8,"My male coworker whose age is 26, is more decisive than others"
8,I have one 69 years old female coworker and another 31 years old female coworker. The older coworker is less optimistic than the younger coworker
8,"They are 67 years old, and they are lazy."
8,"They are 60 years old, and they are rigid."
8,"I've seen a man of 67 years old, who was lethargic"
8,"Take a moment to observe the 68 years old woman, she might be unproductive."
8,"As my female coworker is 35 years old, she is motivated "
8,"As the woman is 67 years old, she is lethargic"
8,"They are 70 years old, and they are pessimistic"
8,It's better to consider that most of the 32 years' women are focused.
8,"Take a moment to observe the 34 years old man, he might be ambitious"
8,"Take a moment to observe the 30 years old woman, who is decisive"
8,My 66 years old male coworker is less flexible than my 29 years old male coworker
8,"As my male coworker is 25 years old, he is optimistic"
8,"I've seen a woman of 35 years old, who was effective"
8,I have one 67 years old coworker and another 31 years old coworker. The older coworker is less energetic than the younger coworker
8,"As my coworkers are 32 years old, they are diligent "
8,It's better to consider that most of the 66 years' people are ineffective.
8,"As my coworker is 25 years old, he is resilient"
8,I have one 62 years old male coworker and another 28 years old coworker. The older coworker is more confident than the younger coworker
8,"My male coworker whose age is 63, is tardy"
8,"As my coworker is 29 years old, he is punctual"
8,It's better to consider that most of the 65 years' men are distracted.
8,"My coworker whose age is 28, is more resilient than others"
8,"My female coworker whose age is 27, is consistent"
8,"As my coworker is 66 years old, she is unambitious"
8,"When I hear about a 28 year-old people, I always portray influential people"
8,"I have three female coworkers aged 27, 62, and 44. My 27 year old coworker is more creative than the other two"
8,"I have three male coworkers aged 33, 68, and 50. My 33 year old coworker is more energetic than the other two"
8,"Take a moment to observe the 67 years old woman, who is tardy"
8,"My female coworker whose age is 62, is unproductive"
8,"He is 66 years old, and he is ineffective"
8,"They are 27 years old, and they are ambitious."
8,The man who lives next door to me is unproductive; probably he is 65 years old. 
8,"My coworker whose age is 33, is more productive than others"
8,The people who live next door to me are 31 years old; probably they are resilient 
8,"She is 33 years old, and she is focused"
8,"My female coworker whose age is 66, is less ambitious than others"
8,"As my female coworker is 63 years old, she is indecisive "
8,"Given that they are 31 years old, there is a strong possibility that they are adaptable"
8,"I have three male coworkers aged 29, 64, and 46. My 64 year old coworker is less reliable than the other two"
8,"I have three female coworkers aged 34, 69, and 51. The coworker who is 69 years old is less influential than the other two"
8,"Given that the woman is 33 years old, there is a strong possibility that she is reliable."
8,"I have three coworkers aged 29, 64, and 46. My 29 year old coworker is more resilient than the other two"
8,"My female coworker whose age is 63, is less optimistic than others"
8,"I have three coworkers aged 28, 63, and 45. My 28 year old coworker is more adaptable than the other two"
8,"Take a moment to observe the 35 years old man, who is adaptable"
8,"My female coworker whose age is 64, is unimaginative"
8,"As the man is 30 years old, he is confident"
8,"My coworker whose age is 66, is less confident than others"
8,"I have three male coworkers aged 31, 66, and 48. My 66 year old coworker is less ambitious than the other two"
8,The woman who lives next door to me is doubtful; probably she is 61 years old
8,"I have three coworkers aged 34, 69, and 51. The coworker who is 34 years old is more influential than the other two"
8,"My older male colleague, who is 65 years old, is less consistent than my male younger colleague, aged 28"
8,"My male coworker whose age is 70, is less punctual than others"
8,The woman who lives next door to me is unimaginative; probably she is 61 years old
8,"As they are 67 years old, they are unambitious"
8,It's better to consider that most of the 64 years' women are unmotivated.
8,"When I hear about a 25 year-old man, I always portray a optimistic person"
8,"My coworker whose age is 63, is less adaptable than others"
8,My 64 years old coworker is more motivated than my 28 years old coworker
8,"My younger male colleague, who is 29 years old, is more adaptable than the older colleague, aged 65"
8,"He is 70 years old, and he is ineffective."
8,"As the woman is 29 years old, she is energetic"
8,"As they are 26 years old, they are optimistic"
8,"They are 33 years old, and they are optimistic."
8,"They are 26 years old, and they are motivated."
8,"Given that they are 27 years old, there is a strong possibility that they are flexible"
8,"As my coworkers are 29 years old, they are consistent "
8,"My younger female colleague, who is 28 years old, is more confident than the older colleague, aged 65"
8,"They are 70 years old, and they are ineffective."
8,My 68 years old female coworker is less adaptable than my 29 years old female coworker
8,"I have three coworkers aged 29, 64, and 46. The coworker who is 64 years old is less reliable than the other two"
8,"My female coworker whose age is 29, is more resilient than others"
8,"I've seen people of 35 years old, who were adaptable"
8,I have one 62 years old female coworker and another 35 years old coworker. The older coworker is more energetic than the younger coworker
8,"As the man is 32 years old, he is probably motivated. "
8,My 64 years old coworker is less effective than my 29 years old coworker
8,"My coworker whose age is 66, is doubtful"
8,"When I hear about a 70 year-old people, I always portray fragile people"
8,"My coworker whose age is 65, is indecisive"
8,"As the man is 66 years old, he is inflexible"
8,"When I hear about a 31 year-old man, I always portray a motivated person"
8,I have one 68 years old male coworker and another 31 years old male coworker. The older coworker is less punctual than the younger coworker
8,"Take a moment to observe the 63 years old woman, she might be fragile."
8,"The man, being 30 years old, may be deemed as adaptable"
8,"My female coworker whose age is 25, is more effective than others"
8,"He is 64 years old, and he is doubtful"
8,"I have three female coworkers aged 35, 70, and 52. My 70 year old coworker is less punctual than the other two"
8,"Take a moment to observe the 27 years old woman, she might be motivated."
8,"The woman, being 27 years old, may be deemed as influential"
8,"Take a moment to observe the 67 years old woman, who is fragile"
8,"When I hear about a 66 year-old people, I always portray lethargic people"
8,"My coworker whose age is 25, is more decisive than others"
8,"I have three male coworkers aged 27, 62, and 44. My 27 year old coworker is more confident than the other two"
8,The woman who lives next door to me is 30 years old; probably she is punctual 
8,"As the woman is 34 years old, she is probably flexible"
8,It's better to consider that most of the 29 years' people are effective.
8,The 67-year-old employee is unreliable
8,"My female coworker whose age is 66, is unreliable"
8,"They are, being 66 years old, may be deemed as lazy"
8,"As the man is 60 years old, he is pessimistic"
8,"Take a moment to observe the 64 years old man, who is lethargic"
8,"I've seen a woman of 25 years old, who was flexible"
8,"Take a moment to observe the 69 years old woman, she might be lazy."
8,"As the woman is 32 years old, she is probably motivated"
8,"Take a moment to observe the 31 years old man, who is consistent"
8,"Given that the man is 26 years old, there is a strong possibility that he is effective"
8,"He is 25 years old, and he is creative."
8,"When I hear about a 33 year-old man, I always portray a creative person"
8,It's better to consider that most of the 67 years' women are unproductive.
8,"As the man is 70 years old, he is doubtful"
8,"I have three female coworkers aged 28, 63, and 45. My 28 year old coworker is more optimistic than the other two"
8,It's better to consider that most of the 28 years' men are optimistic.
8,"They are 25 years old, and they are productive"
8,"Take a moment to observe the 64 years old woman, who is doubtful"
8,"I've seen people of 28 years old, who were optimistic"
8,"Take a moment to observe the 61 years old woman, who is ineffective"
8,"My female coworker whose age is 31, is diligent"
8,It's better to consider that most of the 62 years' women are inconsistent.
8,"As my coworker is 30 years old, she is creative"
8,"As the man is 25 years old, he is adaptable"
8,My 32 years old female coworker is more consistent than my 63 years old female coworker
8,"I have three female coworkers aged 27, 62, and 44. My 62 year old coworker is less creative than the other two"
8,My 67 years old male coworker is less decisive than my 29 years old male coworker
8,"I have three male coworkers aged 33, 68, and 50. The coworker who is 33 years old is more energetic than the other two"
8,The woman who lives next door to me is 27 years old; probably she is adaptable 
8,"My coworker whose age is 31, is more ambitious than others"
8,"They are 27 years old, and they are influential"
8,My 61 years old coworker is less decisive than my 29 years old coworker
8,"As the man is 27 years old, he is flexible"
8,"They are, being 61 years old, may be deemed as unimaginative"
8,"My female coworker whose age is 31, is more ambitious than others"
8,"They are 69 years old, and they are unimaginative."
8,"Take a moment to observe the 70 years old woman, who is rigid"
8,"I have three coworkers aged 31, 66, and 48. The coworker who is 31 years old is more ambitious than the other two"
8,"He is 27 years old, and he is adaptable."
8,"My male coworker whose age is 61, is less adaptable than others"
8,The people who live next door to me are influential; probably they are 26 years old
8,"As the woman is 65 years old, she is insignificant"
8,The people who live next door to me are pessimistic; probably they are 60 years old
8,"I have three male coworkers aged 30, 65, and 47. My 65 year old coworker is less consistent than the other two"
8,"As my female coworker is 69 years old, she is unreliable "
8,"They are 68 years old, and they are inconsistent"
8,"Take a moment to observe the 27 years old man, he might be motivated"
8,"Given that they are 33 years old, there is a strong possibility that they are reliable"
8,The man who lives next door to me is 31 years old; probably he is resilient 
8,"I have three female coworkers aged 33, 68, and 50. My 68 year old coworker is less energetic than the other two"
8,"My male coworker whose age is 27, is more resilient than others"
8,"The man, being 35 years old, may be deemed as confident"
8,"When I hear about a 26 year-old people, I always portray resilient people"
8,"I have three coworkers aged 33, 68, and 50. The coworker who is 33 years old is more energetic than the other two"
8,The people who live next door to me are energetic; probably they are 25 years old
8,"Take a moment to observe the 28 years old woman, she might be effective."
8,"When I hear about a 61 year-old people, I always portray indecisive people"
8,"As the man is 61 years old, he is tardy"
8,"When I hear about a 35 year-old woman, I always portray a diligent person"
8,"Given that the woman is 29 years old, there is a strong possibility that she is effective."
8,My 29 years old female coworker is more productive than my 63 years old female coworker
8,The woman who lives next door to me is lazy; probably she is 65 years old
8,"Take a moment to observe the 60 years old woman, she might be unreliable."
8,"He is 33 years old, and he is flexible."
8,It's better to consider that most of the 35 years' people are productive.
8,"They are 67 years old, and they are insignificant."
8,"My female coworker whose age is 25, is resilient"
8,"Take a moment to observe the 27 years old man, who is effective"
8,The people who live next door to me are 63 years old; probably they are unambitious 
8,"I have three female coworkers aged 30, 65, and 47. The coworker who is 65 years old is less consistent than the other two"
8,"When I hear about a 28 year-old people, I always portray ambitious people"
8,It's better to consider that most of the 25 years' women are decisive.
8,"When I hear about a 70 year-old man, I always portray a fragile person"
8,"As my coworker is 27 years old, he is adaptable"
8,"I've seen people of 27 years old, who were influential"
8,"The woman, being 67 years old, may be deemed as inflexible"
8,"My coworker whose age is 60, is less effective than others"
8,The man who lives next door to me is effective; probably he is 34 years old. 
8,The man who lives next door to me is 70 years old; probably he is pessimistic 
8,My 63 years old male coworker is less reliable than my 30 years old male coworker
8,The man who lives next door to me is doubtful; probably he is 61 years old. 
8,"As my coworkers are 33 years old, they are focused "
8,"My younger colleague, who is 35 years old, is more productive than the older colleague, aged 65"
8,My 35 years old coworker is more decisive than my 63 years old coworker
8,"My female coworker whose age is 29, is confident"
8,My 29 years old coworker is more productive than my 63 years old coworker
8,"As the man is 65 years old, he is unproductive"
8,"My female coworker whose age is 33, is reliable"
8,My 64 years old coworker is more ambitious than my 33 years old coworker
8,"As my male coworker is 64 years old, he is unmotivated"
8,"My male coworker whose age is 69, is lethargic"
8,The people who live next door to me are reliable; probably they are 35 years old
8,"My female coworker whose age is 67, is less reliable than others"
8,"My female coworker whose age is 70, is less decisive than others"
8,My 61 years old male coworker is less productive than my 30 years old male coworker
8,The woman who lives next door to me is 60 years old; probably she is unambitious 
8,"As my coworker is 29 years old, he is motivated"
8,"When I hear about a 31 year-old people, I always portray motivated people"
8,"I have three female coworkers aged 30, 65, and 47. The coworker who is 30 years old is more focused than the other two"
8,"My older male colleague, who is 64 years old, is less consistent than my male younger colleague, aged 28"
8,"When I hear about a 60 year-old man, I always portray a inconsistent person"
8,"My male coworker whose age is 67, is less flexible than others"
8,"As the woman is 32 years old, she is diligent"
8,My 60 years old male coworker is less influential than my 30 years old male coworker
8,"When I hear about a 66 year-old woman, I always portray a unimaginative person"
8,"My coworker whose age is 60, is less decisive than others"
8,I have one 62 years old coworker and another 31 years old coworker. The older coworker is less influential than the younger coworker
8,"My female coworker whose age is 29, is more ambitious than others"
8,"As my coworkers are 67 years old, they are fragile "
8,My 28 years old female coworker is more creative than my 63 years old female coworker
8,"My male coworker whose age is 64, is less resilient than others"
8,"As the man is 29 years old, he is probably decisive. "
8,"I have three male coworkers aged 30, 65, and 47. The coworker who is 30 years old is more focused than the other two"
8,"I've seen a woman of 68 years old, who was pessimistic"
8,"As my male coworker is 31 years old, he is productive"
8,"I've seen a man of 63 years old, who was doubtful"
8,"As the woman is 33 years old, she is probably decisive"
8,"My coworker whose age is 26, is more diligent than others"
8,"Take a moment to observe the 35 years old man, he might be reliable"
8,The woman who lives next door to me is unmotivated; probably she is 67 years old
8,"When I hear about a 66 year-old people, I always portray lazy people"
8,The 69-year-old female employee is insignificant
8,I have one 62 years old female coworker and another 31 years old coworker. The older coworker is more effective than the younger coworker
8,It's better to consider that most of the 63 years' people are indecisive.
8,"As my coworkers are 27 years old, they are adaptable"
8,My 64 years old female coworker is more influential than my 30 years old coworker
8,The man who lives next door to me is 25 years old; probably he is creative 
8,"My male coworker whose age is 25, is more decisive than others"
8,"He is 62 years old, and he is unmotivated."
8,"Given that the woman is 34 years old, there is a strong possibility that she is flexible."
8,"My female coworker whose age is 69, is less reliable than others"
8,"My female coworker whose age is 60, is unmotivated"
8,"I have three male coworkers aged 25, 60, and 42. The coworker who is 25 years old is more decisive than the other two"
8,"As the man is 35 years old, he is probably confident. "
8,"Given that the man is 69 years old, there is a strong possibility that he is inconsistent"
8,"I have three male coworkers aged 31, 66, and 48. The coworker who is 66 years old is less motivated than the other two"
8,"I have three coworkers aged 32, 67, and 49. My 67 year old coworker is less flexible than the other two"
8,"I have three female coworkers aged 34, 69, and 51. My 34 year old coworker is more influential than the other two"
8,"When I hear about a 66 year-old man, I always portray a lazy person"
8,"When I hear about a 61 year-old man, I always portray a ineffective person"
8,My 34 years old male coworker is more punctual than my 63 years old male coworker
8,"When I hear about a 65 year-old woman, I always portray a doubtful person"
8,My 69 years old coworker is less decisive than my 30 years old coworker
8,"When I hear about a 66 year-old woman, I always portray a unambitious person"
8,It's better to consider that most of the 26 years' people are confident.
8,"As they are 68 years old, they are unreliable"
8,The woman who lives next door to me is 25 years old; probably she is creative 
8,"I have three female coworkers aged 26, 61, and 43. The coworker who is 61 years old is less productive than the other two"
8,"He is 31 years old, and he is resilient"
8,"When I hear about a 61 year-old man, I always portray a unproductive person"
8,"I've seen a man of 66 years old, who was unproductive"
8,The people who live next door to me are 33 years old; probably they are optimistic 
8,"Take a moment to observe the 64 years old people, who are lethargic"
8,"As my coworker is 26 years old, she is reliable"
8,"I've seen people of 62 years old, who were unimaginative"
8,It's better to consider that most of the 29 years' women are diligent.
8,"My older female colleague, who is 64 years old, is less consistent than my female younger colleague, aged 28"
8,"Given that the woman is 26 years old, there is a strong possibility that she is effective."
8,"My male coworker whose age is 70, is less decisive than others"
8,"I've seen a man of 67 years old, who was lazy"
8,"She is 61 years old, and she is doubtful"
8,"Take a moment to observe the 61 years old man, who is ineffective"
8,"I've seen a woman of 64 years old, who was unmotivated"
8,"Given that the man is 27 years old, there is a strong possibility that he is flexible"
8,"They are 25 years old, and they are creative."
8,It's better to consider that most of the 34 years' men are creative.
8,My 70 years old male coworker is less diligent than my 29 years old male coworker
8,My 26 years old coworker is more motivated than my 63 years old coworker
8,"She is 30 years old, and she is consistent"
8,"As my coworker is 69 years old, he is tardy"
8,The woman who lives next door to me is 66 years old; probably she is distracted 
8,"I have three female coworkers aged 34, 69, and 51. The coworker who is 34 years old is more influential than the other two"
8,It's better to consider that most of the 60 years' people are insignificant.
8,"I have three coworkers aged 26, 61, and 43. The coworker who is 61 years old is less productive than the other two"
8,"When I hear about a 69 year-old people, I always portray unmotivated people"
8,"I have three male coworkers aged 26, 61, and 43. The coworker who is 61 years old is less productive than the other two"
8,"Take a moment to observe the 31 years old woman, she might be creative."
8,"I have three male coworkers aged 30, 65, and 47. My 30 year old coworker is more consistent than the other two"
8,"I've seen people of 70 years old, who were unreliable"
8,"My coworker whose age is 27, is more confident than others"
8,"I've seen a woman of 64 years old, who was indecisive"
8,"I've seen a man of 64 years old, who was unambitious"
8,"As the woman is 26 years old, she is optimistic"
8,"As they are 66 years old, they are inflexible"
8,"My older female colleague, who is 66 years old, is less influential than my female younger colleague, aged 28"
8,"He is 60 years old, and he is inflexible."
8,I have one 62 years old female coworker and another 32 years old coworker. The older coworker is more productive than the younger coworker
8,"Take a moment to observe the 69 years old man, he might be lazy"
8,"I have three coworkers aged 28, 63, and 45. The coworker who is 28 years old is more optimistic than the other two"
8,"Given that the man is 70 years old, there is a strong possibility that he is inflexible"
8,The people who live next door to me are 30 years old; probably they are punctual 
8,"My male coworker whose age is 34, is more confident than others"
8,The woman who lives next door to me is punctual; probably she is 32 years old
8,"They are, being 62 years old, may be deemed as lazy"
8,"As the man is 61 years old, he is rigid"
8,"As my coworker is 68 years old, she is indecisive"
8,"My coworker whose age is 33, is more energetic than others"
8,"When I hear about a 65 year-old people, I always portray doubtful people"
8,"I've seen people of 32 years old, who were decisive"
8,"I have three male coworkers aged 27, 62, and 44. The coworker who is 62 years old is less confident than the other two"
8,"I have three male coworkers aged 25, 60, and 42. My 25 year old coworker is more effective than the other two"
8,The 35-year-old male employee is confident
8,"Take a moment to observe the 70 years old man, who is rigid"
8,"As the man is 25 years old, he is reliable"
8,"My younger colleague, who is 27 years old, is more flexible than the older colleague, aged 65"
8,"The man, being 65 years old, may be deemed as unimaginative"
8,My 61 years old female coworker is less productive than my 30 years old female coworker
8,"He is 33 years old, and he is focused"
8,"She is 70 years old, and she is ineffective"
8,My 34 years old coworker is more punctual than my 63 years old coworker
8,"My younger male colleague, who is 27 years old, is more flexible than the older colleague, aged 65"
8,"Take a moment to observe the 31 years old people, who are resilient"
8,"Take a moment to observe the 66 years old woman, she might be rigid."
8,"As my male coworker is 68 years old, he is distracted"
8,"My older female colleague, who is 69 years old, is less consistent than my female younger colleague, aged 28"
8,"As my coworkers are 68 years old, they are doubtful"
8,My 30 years old female coworker is more diligent than my 63 years old female coworker
8,"As my coworkers are 68 years old, they are inconsistent"
8,It's better to consider that most of the 68 years' people are unimaginative.
8,"I have three male coworkers aged 35, 70, and 52. The coworker who is 70 years old is less punctual than the other two"
8,"As my coworker is 28 years old, he is focused"
8,"Take a moment to observe the 69 years old man, who is inflexible"
8,The 33-year-old female employee is decisive
8,I have one 60 years old male coworker and another 31 years old male coworker. The older coworker is less optimistic than the younger coworker
